Rank,ATS Score,Company,Job Title,Location,Date Posted,Required Experience,Salary (Actual/Estimated),Work-Life Balance Rating,Matching Rationale,LinkedIn Link
11,75/100,Anaplan,Engineer I - Full Stack,"Gurugram, Haryana, India",4 days ago,1-3 years (Estimate),₹18 - ₹26 LPA (Estimated),Medium,"ATS Score: 75/100. Matches 6 profile skills (JAVA, SPRING BOOT, REACT, DOCKER). Product-based company role matching tech stack.",https://in.linkedin.com/jobs/view/4432227346
12,73/100,Swish,Software Engineer - Backend,"Bengaluru, Karnataka, India",2 days ago,3+ years,₹18 - ₹26 LPA (Estimated),Medium,"ATS Score: 73/100. Matches 5 profile skills (JAVA, NODE.JS, REST, MICROSERVICE). Product-based company role matching tech stack.",https://in.linkedin.com/jobs/view/4431843708
13,71/100,SmartQ,Software Engineer,Greater Bengaluru Area,1 week ago,2+ years,₹18 - ₹26 LPA (Estimated),Medium,"ATS Score: 71/100. Matches 3 profile skills (REST, AWS, SQL). Product-based company role matching tech stack.",https://in.linkedin.com/jobs/view/4428017575
14,70/100,Impetus,Fullstack (Java + React),"Bengaluru, Karnataka, India",1 week ago,1-3 years (Estimate),₹15 - ₹22 LPA (Estimated),Medium,"ATS Score: 70/100. Matches 5 profile skills (JAVA, SPRING BOOT, REACT, REST). Software engineer role matching engineering profile.",https://in.linkedin.com/jobs/view/4416886594
15,67/100,Google,"Software Engineer, PhD, Early Career, Campus, 2025 Start","Bengaluru, Karnataka, India",23 hours ago,1-3 years (Estimate),₹30 - ₹55 LPA (Estimated),High,"ATS Score: 67/100. Matches 1 profile skills (JAVA). Industry-best engineering culture, top compensation, great benefits.",https://in.linkedin.com/jobs/view/4320939209
16,65/100,Docusign,Software Engineer,"Bengaluru, Karnataka, India",20 hours ago,2+ years,₹18 - ₹26 LPA (Estimated),Medium,"ATS Score: 65/100. Matches 2 profile skills (JAVA, MICROSERVICE). Product-based company role matching tech stack.",https://in.linkedin.com/jobs/view/4424510572
17,65/100,Virtusa,Java Python,"Bangalore Urban, Karnataka, India",2 days ago,1-3 years (Estimate),₹18 - ₹26 LPA (Estimated),Medium,"ATS Score: 65/100. Matches 2 profile skills (JAVA, MICROSERVICE). Product-based company role matching tech stack.",https://in.linkedin.com/jobs/view/4432864312
18,65/100,hackajob,Software Engineer,"Pune Division, Maharashtra, India",5 days ago,1-3 years (Estimate),₹18 - ₹26 LPA (Estimated),Medium,"ATS Score: 65/100. Matches 3 profile skills (JAVA, AWS, SQL). Product-based company role matching tech stack.",https://in.linkedin.com/jobs/view/4421361349
19,64/100,Capco,React.js frontend developer,Greater Bengaluru Area,1 day ago,1-3 years (Estimate),₹18 - ₹26 LPA (Estimated),Medium,"ATS Score: 64/100. Matches 2 profile skills (JAVA, REACT). Product-based company role matching tech stack.",https://in.linkedin.com/jobs/view/4433301587
20,63/100,isolved,Software Engineer I,"Hyderabad, Telangana, India",1 day ago,3+ years,₹18 - ₹26 LPA (Estimated),Medium,"ATS Score: 63/100. Matches 2 profile skills (JAVA, SQL). Product-based company role matching tech stack.",https://in.linkedin.com/jobs/view/4413997494
21,61/100,Gravitix Tech,Fresher - Front End Developer,"Hyderabad, Telangana, India",1 week ago,1-3 years (Estimate),₹18 - ₹26 LPA (Estimated),Medium,"ATS Score: 61/100. Matches 3 profile skills (JAVA, REACT, REST). Product-based company role matching tech stack.",https://in.linkedin.com/jobs/view/4427475636
22,61/100,DigitalXNode,Junior Frontend Developer,"Delhi, Delhi, India",1 week ago,1-3 years (Estimate),₹18 - ₹26 LPA (Estimated),Medium,"ATS Score: 61/100. Matches 2 profile skills (JAVA, REST). Product-based company role matching tech stack.",https://in.linkedin.com/jobs/view/4428813487
23,60/100,Ivanti,"Software Engineer - C/C++, Python","Bengaluru, Karnataka, India",4 hours ago,2+ years,₹18 - ₹26 LPA (Estimated),Medium,ATS Score: 60/100. Matches 1 profile skills (REST). Product-based company role matching tech stack.,https://in.linkedin.com/jobs/view/4431271164
24,60/100,Virtusa,Software Engineer,"Bangalore Urban, Karnataka, India",3 days ago,2+ years,₹18 - ₹26 LPA (Estimated),Medium,"ATS Score: 60/100. Matches 2 profile skills (REST, SQL). Product-based company role matching tech stack.",https://in.linkedin.com/jobs/view/4412799425
25,58/100,Swiggy,Software Engineer,India,1 day ago,3+ years,₹20 - ₹35 LPA (Estimated),Medium,"ATS Score: 58/100. Matches 2 profile skills (JAVA, REACT). Top Indian foodtech/hyperlocal unicorn, strong engineering scale.",https://in.linkedin.com/jobs/view/4433303807
26,58/100,Botsync,Robotics Software Engineer - L2,"Bengaluru, Karnataka, India",4 days ago,1-3 years (Estimate),₹18 - ₹26 LPA (Estimated),Medium,ATS Score: 58/100. Matches 0 profile skills (). Product-based company role matching tech stack.,https://in.linkedin.com/jobs/view/4432220470
27,57/100,Fractal,Fullstack Developer,"Bengaluru, Karnataka, India",1 week ago,1-3 years (Estimate),₹15 - ₹22 LPA (Estimated),Medium,"ATS Score: 57/100. Matches 2 profile skills (REST, AWS). Software engineer role matching engineering profile.",https://in.linkedin.com/jobs/view/3631867155
28,56/100,Gururo,Software Developer,"Bangalore Urban, Karnataka, India",1 day ago,1-3 years (Estimate),₹15 - ₹22 LPA (Estimated),Medium,ATS Score: 56/100. Matches 1 profile skills (JAVA). Software engineer role matching engineering profile.,https://in.linkedin.com/jobs/view/4430226276
29,56/100,Recro,Javascript Developer,"Bengaluru, Karnataka, India",1 week ago,3+ years,₹18 - ₹26 LPA (Estimated),Medium,"ATS Score: 56/100. Matches 3 profile skills (JAVA, REACT, REST). Product-based company role matching tech stack.",https://in.linkedin.com/jobs/view/4427466517
30,55/100,DigiCert,Associate Software Engineer,"Bengaluru, Karnataka, India",4 days ago,1+ years,₹18 - ₹26 LPA (Estimated),Medium,"ATS Score: 55/100. Matches 3 profile skills (JAVA, AWS, KUBERNETES). Product-based company role matching tech stack.",https://in.linkedin.com/jobs/view/4430873657
31,54/100,Visa,Software Engineer,"Bengaluru East, Karnataka, India",2 days ago,3+ years,₹20 - ₹32 LPA (Estimated),High,"ATS Score: 54/100. Matches 0 profile skills (). Top payments network product MNC, good WLB.",https://in.linkedin.com/jobs/view/4433092549
32,54/100,Kassavirtanen Oy,back end developer,"Chennai, Tamil Nadu, India",2 days ago,1-2 years,₹18 - ₹26 LPA (Estimated),Medium,"ATS Score: 54/100. Matches 2 profile skills (REACT, SQL). Product-based company role matching tech stack.",https://in.linkedin.com/jobs/view/4432829789
33,53/100,Gentrack Ltd (Global),Software Engineer Junior,"Pune Division, Maharashtra, India",1 week ago,1-2 years,₹18 - ₹26 LPA (Estimated),Medium,ATS Score: 53/100. Matches 0 profile skills (). Product-based company role matching tech stack.,https://in.linkedin.com/jobs/view/4410582043
34,51/100,Gururo,Web Developer,"Bangalore Urban, Karnataka, India",1 day ago,1-3 years (Estimate),₹15 - ₹22 LPA (Estimated),Medium,ATS Score: 51/100. Matches 1 profile skills (JAVA). Software engineer role matching engineering profile.,https://in.linkedin.com/jobs/view/4430220372
35,49/100,EXL,Associate - LCNC Engineer,"Noida, Uttar Pradesh, India",1 week ago,1-3 years (Estimate),₹18 - ₹26 LPA (Estimated),Medium,ATS Score: 49/100. Matches 1 profile skills (REST). Product-based company role matching tech stack.,https://in.linkedin.com/jobs/view/4342216141
36,46/100,Scoutit,Frontend Developer,India,2 hours ago,1-3 years (Estimate),₹18 - ₹26 LPA (Estimated),Medium,ATS Score: 46/100. Matches 0 profile skills (). Product-based company role matching tech stack.,https://in.linkedin.com/jobs/view/4433497911
37,46/100,Scoutit,Front End Developer,"Bengaluru South, Karnataka, India",3 hours ago,1-3 years (Estimate),₹18 - ₹26 LPA (Estimated),Medium,ATS Score: 46/100. Matches 0 profile skills (). Product-based company role matching tech stack.,https://in.linkedin.com/jobs/view/4433613076
38,45/100,Amadeus,Software Development Engineer,"Pune Division, Maharashtra, India",3 days ago,1-3 years (Estimate),₹18 - ₹26 LPA (Estimated),Medium,ATS Score: 45/100. Matches 0 profile skills (). Product-based company role matching tech stack.,https://in.linkedin.com/jobs/view/4431269371
